id,label
tsunami_0004,1
tsunami_0011,1
tsunami_0019,1
tsunami_0024,1
tsunami_0026,1
tsunami_0039,1
tsunami_0044,1
tsunami_0043,1
tsunami_0041,1
tsunami_0064,1
tsunami_0054,1
tsunami_0056,1
tsunami_0081,1
tsunami_0079,1
tsunami_0075,1
tsunami_0098,1
tsunami_0101,1
tsunami_0085,1
tsunami_0123,1
tsunami_0107,1
tsunami_0108,1
tsunami_0142,1
tsunami_0131,1
tsunami_0134,1
tsunami_0156,1
tsunami_0159,1
tsunami_0147,1
tsunami_0165,1
tsunami_0171,0
tsunami_0166,1
tsunami_0201,1
tsunami_0196,1
tsunami_0199,1
tsunami_0208,1
tsunami_0215,1
tsunami_0210,1
tsunami_0237,1
tsunami_0241,1
tsunami_0231,1
tsunami_0245,0
tsunami_0246,1
tsunami_0264,1
tsunami_0279,1
tsunami_0273,1
tsunami_0281,1
tsunami_0293,1
tsunami_0303,1
tsunami_0298,1
tsunami_0305,1
tsunami_0307,1
tsunami_0308,1
tsunami_0314,1
tsunami_0310,0
tsunami_0319,1
tsunami_0345,1
tsunami_0344,0
tsunami_0342,1
tsunami_0351,1
tsunami_0353,1
tsunami_0359,1
tsunami_0386,1
tsunami_0384,1
tsunami_0381,1
tsunami_0404,1
tsunami_0399,1
tsunami_0389,1
tsunami_0414,1
tsunami_0410,1
tsunami_0416,1
tsunami_0436,1
tsunami_0445,1
tsunami_0431,1
tsunami_0463,1
tsunami_0462,0
tsunami_0456,1
tsunami_0478,1
tsunami_0469,1
tsunami_0479,1
tsunami_0501,1
tsunami_0499,1
tsunami_0500,1
tsunami_0513,1
tsunami_0510,1
tsunami_0523,1
tsunami_0537,1
tsunami_0534,1
tsunami_0535,1
tsunami_0551,1
tsunami_0550,1
tsunami_0558,1
tsunami_0575,1
tsunami_0574,1
tsunami_0580,1
tsunami_0588,1
tsunami_0587,1
tsunami_0584,1
tsunami_0593,1
tsunami_0603,1
tsunami_0600,1
tsunami_0620,1
tsunami_0626,1
tsunami_0624,1
tsunami_0641,1
tsunami_0647,1
tsunami_0632,1
tsunami_0654,1
tsunami_0657,1
tsunami_0651,1
tsunami_0675,1
tsunami_0687,1
tsunami_0671,1
tsunami_0708,1
tsunami_0697,1
tsunami_0707,1
tsunami_0712,1
tsunami_0718,1
tsunami_0727,1
tsunami_0735,1
tsunami_0736,1
tsunami_0733,1
tsunami_0760,1
tsunami_0770,0
tsunami_0766,1
tsunami_0782,1
tsunami_0781,1
tsunami_0785,1
tsunami_0794,1
tsunami_0804,1
tsunami_0807,1
tsunami_0817,1
tsunami_0820,1
tsunami_0815,0
tsunami_0841,1
tsunami_0850,1
tsunami_0836,0
tsunami_0864,1
tsunami_0867,1
tsunami_0856,1
tsunami_0880,1
tsunami_0882,1
tsunami_0884,1
tsunami_0897,1
tsunami_0896,1
tsunami_0891,1
tsunami_0906,1
tsunami_0902,1
tsunami_0917,1
tsunami_0918,1
tsunami_0927,1
tsunami_0932,1
tsunami_0939,1
tsunami_0952,1
tsunami_0942,1
tsunami_0964,1
tsunami_0961,1
tsunami_0962,1
tsunami_0979,1
tsunami_0981,1
tsunami_0978,0
tsunami_0983,1
tsunami_0984,1
tsunami_0985,1
tsunami_0992,1
tsunami_1005,1
tsunami_0994,1
tsunami_1011,1
tsunami_1017,1
tsunami_1019,0
tsunami_1042,1
tsunami_1026,1
tsunami_1034,1
tsunami_1065,1
tsunami_1047,1
tsunami_1061,1
tsunami_1069,1
tsunami_1077,1
tsunami_1070,1
tsunami_1104,1
tsunami_1105,1
tsunami_1099,1
tsunami_1107,1
tsunami_1120,1
tsunami_1110,1
tsunami_1142,1
tsunami_1134,1
tsunami_1144,1
tsunami_1146,1
tsunami_1151,1
tsunami_1161,1
tsunami_0022,1
tsunami_0894,1
tsunami_1117,1
tsunami_1108,1
tsunami_0536,0
tsunami_0432,0
tsunami_0323,1
tsunami_0364,1
tsunami_0010,0
tsunami_1109,1
tsunami_0752,1
