id,label
karhutla_0009,N
karhutla_0002,Y
karhutla_0007,Y
karhutla_0021,Y
karhutla_0027,Y
karhutla_0029,N
karhutla_0041,N
karhutla_0042,N
karhutla_0062,Y
karhutla_0050,N
karhutla_0053,N
karhutla_0079,Y
karhutla_0065,N
karhutla_0063,Y
karhutla_0099,Y
karhutla_0101,Y
karhutla_0086,N
karhutla_0109,N
karhutla_0110,N
karhutla_0118,N
karhutla_0136,Y
karhutla_0137,N
karhutla_0127,N
karhutla_0149,N
karhutla_0155,N
karhutla_0151,N
karhutla_0176,Y
karhutla_0161,N
karhutla_0171,N
karhutla_0194,N
karhutla_0183,N
karhutla_0190,Y
karhutla_0201,Y
karhutla_0213,N
karhutla_0217,Y
karhutla_0234,Y
karhutla_0237,Y
karhutla_0231,Y
karhutla_0243,Y
karhutla_0258,N
karhutla_0246,N
karhutla_0271,N
karhutla_0276,N
karhutla_0262,Y
karhutla_0286,Y
karhutla_0285,N
karhutla_0294,N
karhutla_0303,Y
karhutla_0304,Y
karhutla_0299,N
karhutla_0309,N
karhutla_0316,N
karhutla_0314,N
karhutla_0332,Y
karhutla_0331,N
karhutla_0320,Y
karhutla_0345,N
karhutla_0350,N
karhutla_0352,N
karhutla_0361,N
karhutla_0368,Y
karhutla_0360,Y
karhutla_0390,Y
karhutla_0396,N
karhutla_0382,N
karhutla_0405,Y
karhutla_0411,Y
karhutla_0412,Y
karhutla_0421,Y
karhutla_0430,N
karhutla_0436,N
karhutla_0442,Y
karhutla_0455,Y
karhutla_0446,N
karhutla_0467,Y
karhutla_0460,N
karhutla_0476,N
karhutla_0497,Y
karhutla_0478,N
karhutla_0494,Y
karhutla_0508,Y
karhutla_0517,N
karhutla_0505,Y
karhutla_0536,Y
karhutla_0527,N
karhutla_0526,N
karhutla_0553,Y
karhutla_0555,N
karhutla_0542,N
karhutla_0559,Y
karhutla_0558,Y
karhutla_0566,Y
karhutla_0588,N
karhutla_0596,N
karhutla_0579,N
karhutla_0599,Y
karhutla_0609,Y
karhutla_0614,Y
karhutla_0623,Y
karhutla_0628,N
karhutla_0631,N
karhutla_0651,Y
karhutla_0653,N
karhutla_0650,N
karhutla_0671,Y
karhutla_0673,Y
karhutla_0672,Y
karhutla_0697,Y
karhutla_0692,N
karhutla_0678,N
karhutla_0705,Y
karhutla_0715,Y
karhutla_0714,Y
karhutla_0724,Y
karhutla_0734,N
karhutla_0720,N
karhutla_0738,Y
karhutla_0739,Y
karhutla_0753,Y
karhutla_0748,N
karhutla_0759,Y
karhutla_0774,Y
karhutla_0777,Y
karhutla_0776,N
karhutla_0791,Y
karhutla_0784,N
karhutla_0795,N
karhutla_0819,Y
karhutla_0814,N
karhutla_0802,N
karhutla_0822,Y
karhutla_0820,Y
karhutla_0835,Y
karhutla_0842,N
karhutla_0856,N
karhutla_0843,Y
karhutla_0877,Y
karhutla_0874,N
karhutla_0876,N
karhutla_0882,Y
karhutla_0883,Y
karhutla_0880,Y
karhutla_0886,Y
karhutla_0898,N
karhutla_0899,N
karhutla_0915,Y
karhutla_0910,N
karhutla_0922,N
karhutla_0935,Y
karhutla_0927,Y
karhutla_0932,Y
karhutla_0948,Y
karhutla_0960,N
karhutla_0964,N
karhutla_0966,N
karhutla_0967,N
karhutla_0968,N
karhutla_0969,N
karhutla_0985,Y
karhutla_0986,N
karhutla_0979,N
karhutla_0996,Y
karhutla_0998,N
karhutla_1005,Y
karhutla_1018,Y
karhutla_1013,Y
karhutla_1026,Y
karhutla_1040,Y
karhutla_1047,N
karhutla_1046,N
karhutla_1059,Y
karhutla_1064,Y
karhutla_1061,Y
karhutla_1078,Y
karhutla_1071,N
karhutla_1082,N
karhutla_1107,Y
karhutla_1097,N
karhutla_1094,N
karhutla_1119,Y
karhutla_1114,N
karhutla_1127,N
karhutla_1137,Y
karhutla_1145,N
karhutla_1134,Y
karhutla_0981,N
karhutla_0900,N
karhutla_0657,N
karhutla_0362,N
karhutla_0232,Y
karhutla_1147,N
karhutla_0398,Y
karhutla_0274,N
karhutla_1003,N
karhutla_0904,Y
karhutla_0100,N
karhutla_0252,N
karhutla_0310,N
karhutla_0363,N
karhutla_0080,Y
