id,label
kekeringan_0001,N
kekeringan_0009,N
kekeringan_0011,N
kekeringan_0020,N
kekeringan_0021,N
kekeringan_0023,N
kekeringan_0034,N
kekeringan_0038,N
kekeringan_0047,N
kekeringan_0063,Y
kekeringan_0057,N
kekeringan_0071,N
kekeringan_0080,N
kekeringan_0087,N
kekeringan_0092,N
kekeringan_0102,N
kekeringan_0105,N
kekeringan_0104,N
kekeringan_0129,N
kekeringan_0118,N
kekeringan_0123,Y
kekeringan_0137,N
kekeringan_0145,N
kekeringan_0144,N
kekeringan_0160,N
kekeringan_0168,N
kekeringan_0172,N
kekeringan_0187,N
kekeringan_0176,N
kekeringan_0178,N
kekeringan_0210,N
kekeringan_0199,N
kekeringan_0206,N
kekeringan_0224,N
kekeringan_0221,N
kekeringan_0217,N
kekeringan_0239,Y
kekeringan_0234,N
kekeringan_0247,N
kekeringan_0261,N
kekeringan_0255,N
kekeringan_0271,N
kekeringan_0279,N
kekeringan_0282,N
kekeringan_0285,N
kekeringan_0288,Y
kekeringan_0292,N
kekeringan_0290,N
kekeringan_0311,N
kekeringan_0315,N
kekeringan_0307,N
kekeringan_0340,N
kekeringan_0330,N
kekeringan_0329,N
kekeringan_0348,N
kekeringan_0350,N
kekeringan_0361,N
kekeringan_0385,Y
kekeringan_0375,N
kekeringan_0377,N
kekeringan_0389,N
kekeringan_0405,N
kekeringan_0391,N
kekeringan_0406,Y
kekeringan_0422,N
kekeringan_0425,N
kekeringan_0439,Y
kekeringan_0429,N
kekeringan_0428,N
kekeringan_0447,Y
kekeringan_0446,N
kekeringan_0449,N
kekeringan_0481,Y
kekeringan_0474,N
kekeringan_0478,Y
kekeringan_0497,Y
kekeringan_0494,N
kekeringan_0501,N
kekeringan_0518,N
kekeringan_0517,N
kekeringan_0510,N
kekeringan_0528,N
kekeringan_0540,N
kekeringan_0533,N
kekeringan_0556,N
kekeringan_0553,N
kekeringan_0546,N
kekeringan_0562,N
kekeringan_0563,N
kekeringan_0569,N
kekeringan_0574,N
kekeringan_0575,N
kekeringan_0576,N
kekeringan_0587,N
kekeringan_0593,N
kekeringan_0580,N
kekeringan_0605,N
kekeringan_0602,N
kekeringan_0604,N
kekeringan_0620,Y
kekeringan_0608,N
kekeringan_0625,N
kekeringan_0632,N
kekeringan_0629,N
kekeringan_0635,N
kekeringan_0654,Y
kekeringan_0658,N
kekeringan_0660,N
kekeringan_0682,Y
kekeringan_0674,N
kekeringan_0681,N
kekeringan_0698,Y
kekeringan_0697,N
kekeringan_0705,N
kekeringan_0706,N
kekeringan_0720,Y
kekeringan_0726,N
kekeringan_0712,N
kekeringan_0745,N
kekeringan_0739,N
kekeringan_0742,N
kekeringan_0747,N
kekeringan_0763,N
kekeringan_0751,N
kekeringan_0773,Y
kekeringan_0776,N
kekeringan_0769,N
kekeringan_0797,Y
kekeringan_0800,N
kekeringan_0788,N
kekeringan_0817,N
kekeringan_0816,N
kekeringan_0813,N
kekeringan_0829,N
kekeringan_0830,N
kekeringan_0838,N
kekeringan_0847,N
kekeringan_0848,N
kekeringan_0861,N
kekeringan_0859,N
kekeringan_0850,N
kekeringan_0877,N
kekeringan_0874,N
kekeringan_0879,N
kekeringan_0892,Y
kekeringan_0906,N
kekeringan_0895,N
kekeringan_0910,N
kekeringan_0909,N
kekeringan_0912,N
kekeringan_0913,N
kekeringan_0914,N
kekeringan_0915,N
kekeringan_0916,N
kekeringan_0917,N
kekeringan_0918,N
kekeringan_0922,N
kekeringan_0931,N
kekeringan_0921,N
kekeringan_0941,N
kekeringan_0951,N
kekeringan_0947,N
kekeringan_0965,N
kekeringan_0969,N
kekeringan_0972,N
kekeringan_0993,N
kekeringan_0988,N
kekeringan_0995,N
kekeringan_1008,N
kekeringan_1010,N
kekeringan_1001,N
kekeringan_1032,N
kekeringan_1019,N
kekeringan_1028,N
kekeringan_1058,N
kekeringan_1041,Y
kekeringan_1053,N
kekeringan_1068,Y
kekeringan_1077,Y
kekeringan_1065,N
kekeringan_1080,N
kekeringan_1081,N
kekeringan_1094,Y
kekeringan_0618,N
kekeringan_0925,N
kekeringan_0633,Y
kekeringan_0699,N
kekeringan_0130,Y
kekeringan_0356,N
kekeringan_0841,N
kekeringan_0394,N
kekeringan_0267,N
kekeringan_1086,N
kekeringan_0469,Y
kekeringan_0209,N
kekeringan_1069,N
kekeringan_0623,N
kekeringan_0378,Y
kekeringan_0346,N
kekeringan_1051,N
